SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,209 South Hill Blvd,San Francisco,CA,94112,1098000,2,1.0,San Francisco,1364,4499,1927,11,805,,Active,September-4-2021 02:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/209-S-Hill-Blvd-94112/home/793588,San Francisco MLS,421579021,N,Y,37.71011,-122.4303341
MLS Listing,,Condo/Co-op,2000 Ellis St #205,San Francisco,CA,94115,749000,1,1.0,San Francisco,595,8090,2013,11,1259,466,Active,September-4-2021 01:00 PM,September-4-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/2000-Ellis-St-94115/unit-205/home/55244549,San Francisco MLS,421587794,N,Y,37.781718,-122.439434
MLS Listing,,Condo/Co-op,1998 Broadway #807,San Francisco,CA,94109,1350000,2,2.0,San Francisco,1030,15195,1964,23,1311,1288,Active,,,http://www.redfin.com/CA/San-Francisco/1998-Broadway-94109/unit-807/home/1865773,San Francisco MLS,421583886,N,Y,37.7953251,-122.4298254
MLS Listing,,Condo/Co-op,163 Shipley St,San Francisco,CA,94107,875000,2,1.0,San Francisco,801,10427,1992,37,1092,599,Active,,,http://www.redfin.com/CA/San-Francisco/163-Shipley-94107/home/1950146,San Francisco MLS,421576170,N,Y,37.7805383,-122.4018925
MLS Listing,,Condo/Co-op,248 Myrtle St,San Francisco,CA,94109,775000,2,1.0,San Francisco,975,3828,1900,123,795,461,Active,,,http://www.redfin.com/CA/San-Francisco/248-Myrtle-St-94109/home/1491675,San Francisco MLS,421544867,N,Y,37.7852487,-122.4221514
Redfin Data,,Condo/Co-op,1816 23rd St,San Francisco,CA,94107,899000,2,1.0,San Francisco,1134,,1988,3,793,600,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/1816-23rd-St-94107/home/1874262,Coming Soon,76070,N,Y,37.7549818,-122.3980981
Redfin Data,,Condo/Co-op,461 2nd St Unit C118,San Francisco,CA,94107,750000,1,1.0,San Francisco,672,,1907,7,1116,652,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/461-2nd-St-94107/unit-C118/home/1203053,Coming Soon,75971,N,Y,37.783797,-122.3937191
MLS Listing,,Single Family Residential,1425 7th Ave,San Francisco,CA,94122,1925000,5,2.0,San Francisco,2294,3000,1910,1,839,,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1425-7th-Ave-94122/home/2000109,San Francisco MLS,421587543,N,Y,37.7617205,-122.4642166
MLS Listing,,Condo/Co-op,4358 23rd St,San Francisco,CA,94114,1295000,3,1.0,San Francisco,,,1906,1,,366,Active,,,http://www.redfin.com/CA/San-Francisco/4358-23rd-St-94114/home/1648428,San Francisco MLS,421590634,N,Y,37.7527959,-122.43992
MLS Listing,,Condo/Co-op,1335 Union St #1,San Francisco,CA,94109,799000,1,1.0,San Francisco,926,6500,1923,1,863,425,Active,September-12-2021 01:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/1335-Union-St-94109/unit-1/home/176312546,San Francisco MLS,421591461,N,Y,37.7984775,-122.4213208
MLS Listing,,Single Family Residential,24 Edith St,San Francisco,CA,94133,2995000,3,3.0,San Francisco,2620,1306,1907,1,1143,,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/24-Edith-St-94133/home/1545210,San Francisco MLS,421588124,N,Y,37.8029214,-122.4085027
MLS Listing,,Multi-Family (5+ Unit),700 Page St,San Francisco,CA,94117,5700000,0,,San Francisco,7926,2560,1912,1,719,,Active,,,http://www.redfin.com/CA/San-Francisco/700-Page-St-94117/home/941479,San Francisco MLS,421591470,N,Y,37.773012,-122.432491
MLS Listing,,Single Family Residential,2478 36th Ave,San Francisco,CA,94116,1495000,3,1.5,San Francisco,1855,3000,1912,1,806,,Active,September-12-2021 01:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2478-36th-Ave-94116/home/660772,San Francisco MLS,421586743,N,Y,37.7408297,-122.493577
MLS Listing,,Single Family Residential,1362 23rd Ave,San Francisco,CA,94122,1495000,4,1.5,San Francisco,1579,3000,1923,1,947,,Active,,,http://www.redfin.com/CA/San-Francisco/1362-23rd-Ave-94122/home/1724752,San Francisco MLS,421586744,N,Y,37.7622237,-122.4810652
MLS Listing,,Condo/Co-op,1221 Harrison St #21,San Francisco,CA,94103,1090000,1,2.0,Mission,1404,,2004,1,776,756,Active,,,http://www.redfin.com/CA/San-Francisco/1221-Harrison-St-94103/unit-21/home/1196987,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40965812,N,Y,37.7731279,-122.4087672
MLS Listing,,Single Family Residential,540 Texas St,San Francisco,CA,94107,2159000,3,3.5,San Francisco,1852,2495,1926,1,1166,,Active,September-4-2021 01:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/540-Texas-St-94107/home/1184446,San Francisco MLS,421590825,N,Y,37.7594735,-122.3955114
MLS Listing,,Multi-Family (5+ Unit),1000 Union St,San Francisco,CA,94133,16500000,0,,San Francisco,24535,6188,1913,1,673,,Active,,,http://www.redfin.com/CA/San-Francisco/1000-Union-St-94133/home/2020643,San Francisco MLS,421590940,N,Y,37.799967,-122.4160657
MLS Listing,,Condo/Co-op,3014 26th St,San Francisco,CA,94110,1495000,3,2.0,San Francisco,1200,1624,1900,1,1246,300,Active,September-4-2021 11:30 AM,September-4-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/3014-26th-St-94110/home/12445008,San Francisco MLS,421581472,N,Y,37.7496429,-122.4102226
MLS Listing,,Single Family Residential,345 Allison St,SAN FRANCISCO,CA,94112,993000,4,2.0,SAN FRANCISCO,1722,2996,1949,1,577,,Active,September-4-2021 02:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/345-Allison-St-94112/home/1248934,MLSListings,ML81861187,N,Y,37.7107016,-122.440697
MLS Listing,,Condo/Co-op,1310 Fillmore St #1105,San Francisco,CA,94115,898000,1,1.0,San Francisco,749,52938,2007,1,1199,832,Active,September-4-2021 01:00 PM,September-4-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/1310-Fillmore-St-94115/unit-1105/home/17305236,BAREIS,421591346,N,Y,37.7816647,-122.4321387
MLS Listing,,Condo/Co-op,2015 Buchanan St,San Francisco,CA,94115,1499000,3,2.0,San Francisco,1222,2152,1890,1,1227,,Active,,,http://www.redfin.com/CA/San-Francisco/2015-Buchanan-St-94115/home/845619,San Francisco MLS,421590941,N,Y,37.788915,-122.430731
MLS Listing,,Condo/Co-op,272 Topaz Way,San Francisco,CA,94131,1500000,3,2.5,San Francisco,1875,799,1976,1,800,465,Active,,,http://www.redfin.com/CA/San-Francisco/272-Topaz-Way-94131/home/842128,San Francisco MLS,421591314,N,Y,37.7404747,-122.4382971
MLS Listing,,Condo/Co-op,65 Ora Way Unit C207,San Francisco,CA,94131,379208,1,1.0,San Francisco,684,7397,1975,1,554,655,Active,,,http://www.redfin.com/CA/San-Francisco/65-Ora-Way-94131/unit-C207/home/1615584,San Francisco MLS,421583821,N,Y,37.7411447,-122.4373902
MLS Listing,,Condo/Co-op,1108 Shotwell St Unit A,San Francisco,CA,94110,849000,1,1.0,San Francisco,,2427,,1,,197,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1108-Shotwell-St-94110/unit-A/home/148072115,San Francisco MLS,421568884,N,Y,37.7506393,-122.4151335
MLS Listing,,Single Family Residential,524 Oak St,San Francisco,CA,94102,2690000,5,3.5,San Francisco,,2950,,1,,,Active,September-4-2021 01:00 PM,September-4-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/524-Oak-St-94102/home/1507381,San Francisco MLS,421572962,N,Y,37.7744976,-122.4287416
MLS Listing,,Condo/Co-op,3814 Cesar Chavez St,San Francisco,CA,94131,1395000,2,,San Francisco,1191,1790,1917,1,1171,250,Active,September-7-2021 12:00 PM,September-7-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/3814-Cesar-Chavez-94131/home/1066029,BAREIS,421586615,N,Y,37.7479597,-122.4253199
MLS Listing,,Condo/Co-op,250 26th Ave,San Francisco,CA,94121,1795000,4,2.0,San Francisco,1780,2999,1911,1,1008,445,Active,September-4-2021 01:00 PM,September-4-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/250-26th-Ave-94121/home/109464654,San Francisco MLS,421591279,N,Y,37.7847448,-122.4858878
MLS Listing,,Condo/Co-op,88 Townsend St #101,SAN FRANCISCO,CA,94107,949000,1,1.0,SAN FRANCISCO,838,,2004,1,1132,625,Active,,,http://www.redfin.com/CA/San-Francisco/88-Townsend-St-94102/unit-101/home/12401548,MLSListings,ML81861131,N,Y,37.7811985,-122.3906654
MLS Listing,,Single Family Residential,1423 York St,San Francisco,CA,94110,1195000,3,2.0,San Francisco,1530,2500,1923,1,781,,Active,September-4-2021 01:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1423-York-St-94110/home/1997396,San Francisco MLS,421591076,N,Y,37.7493608,-122.4076697
MLS Listing,,Vacant Land,1000 Broadway St,San Francisco,CA,94133,13000000,0,,San Francisco,,5418,,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/1000-Broadway-94133/home/49537203,San Francisco MLS,421590730,N,Y,37.7971561,-122.4137494
MLS Listing,,Multi-Family (2-4 Unit),616 - 618 Lombard St,San Francisco,CA,94133,2290000,5,,San Francisco,2636,2025,1909,1,869,,Active,,,http://www.redfin.com/CA/San-Francisco/616-Lombard-St-94133/home/543281,San Francisco MLS,421591210,N,Y,37.8031647,-122.411839
